"Nama Kota";"Latitude";"Longitude"
"ACEH";5.58333333333333;95.3333333333333
"ALAHAN PANJANG";-1.06666666666667;100.783333333333
"AMBOINA";-3.7;128.15
"AMBON";-3.7;128.796666666667
"AMUNTAI";-2.4;115.3
"ANYER";-6.05;105.933333333333
"AROSBAYA";-6.93333333333333;112.866666666667
"BAITUL MUSTHOFA";-7.47583333333333;110.893611111111
"BALIAGE";3.35;99.0333333333333
"BALIKPAPAN";-1.21666666666667;116.85
"BANDA ACEH";5.58333333333333;95.3333333333333
"BANDAR LAMPUNG";-5.43333333333333;105.233333333333
"BANDUNG";-6.95;107.616666666667
"BANGGAI";-1.56666666666667;123.566666666667
"BANGKA";-2;106
"BANGKALAN";-7.05;112.766666666667
"BANGKINAN";0.366666666666667;101.033333333333
"BANGKO";-2.11666666666667;102.416666666667
"BANJAR";-7.38333333333333;108.533333333333
"BANJARMASIN";-3.36666666666667;114.666666666667
"BANJARNEGARA";-7.43333333333333;109.666666666667
"BANTEN";-6.05;106.133333333333
"BANTUL";-7.93333333333333;110.333333333333
"BANYUMAS";-7.41666666666667;114.383333333333
"BANYUWANGI";-8.21666666666667;114.383333333333
"BARABAI";-2.53333333333333;115.366666666667
"BATANG";-6.93333333333333;109.716666666667
"BATURAJA";-4.11666666666667;104.2
"BATUSANGKAR";-0.45;100.566666666667
"BAUBAU";-5.5;122.65
"BEKASI";-6.31666666666667;107
"BENGKALIS";1.51666666666667;102.133333333333
"BENGKULU";-3.8;102.25
"BIMA";-8.45;118.75
"BINJAI";9.65;98.45
"BIREUN";5.28333333333333;96.6833333333333
"BLANGKAJEREN";4.03333333333333;97.3
"BLEGA";-7.1;113.116666666667
"BLITAR";-8.1;112.15
"BLORA";-6.96666666666667;111.416666666667
"BOGOR";-6.61666666666667;106.8
"BOJONEGORO";-7.16666666666667;111.883333333333
"BONDOWOSO";-7.91666666666667;113.833333333333
"BONTANG";0.0666666666666667;117.5
"BONTHAIN";-5.56666666666667;119.95
"BOYOLALI";-7.55;110.583333333333
"BREBES";-6.9;109.033333333333
"BUKITTINGGI";-0.3;100.366666666667
"BULUKUMBA";-5.55;120.2
"BUNGAH";-7.05411666666667;112.569166666667
"BUNTOK";-1.66666666666667;114.883333333333
"CALANG";-4.68333333333333;95.6
"CEPU";-7.16666666666667;111.583333333333
"CIAMIS";-7.35;108.45
"CIANJUR";-6.85;107.133333333333
"CIBINONG";-6.48333333333333;106.85
"CIJULANG";-7.33333333333333;108.55
"CIKAJANG";-7.33333333333333;107.8
"CILACAP";-7.75;109.033333333333
"CILEGON";-6.03333333333333;106.083333333333
"CIMAHI";-6.93333333333333;107.5
"CIREBON";-6.75;108.55
"CURUP";-3.41666666666667;102.5
"DEMAK";-6.9;110.616666666667
"DENPASAR";-8.61666666666667;115.216666666667
"DILLI";-8.63333333333333;125.583333333333
"DOBO";-5.78333333333333;134.25
"DOMPU";-8.5;118.466666666667
"DONGGALA";-0.7;119.75
"DUMAI";1.76666666666667;101.366666666667
"DURJAN";-7;113.166666666667
"ENDEH";-8.83333333333333;121.666666666667
"ENREKANG";-3.58333333333333;119.783333333333
"FAKFAK";-3.86666666666667;132.333333333333
"GARUT";-7.21666666666667;107.9
"GEBANG AROSBAYA";-6.98908333333333;112.789638888889
"GEBANG BANGKALAN";-6.98558333333333;112.786833333333
"GLAGAH";-7.08027777777778;112.492777777778
"GLAGAH LAMONGAN";-7.08027777777778;112.492777777778
"GOMBONG";-7.58333333333333;109.516666666667
"GORONTALO";0.566666666666667;123.083333333333
"GRAJAKAN";-8.58333333333333;114.216666666667
"GRESIK CONDRODIPO";-7.16975;112.617361111111
"GRESIK";-7.16666666666667;112.666666666667
"GUNUNG SITOLI";1.31666666666667;97.6
"IDI";4.96666666666667;97.7666666666667
"INDRAMAYU";-6.33333333333333;108.3
"JAKARTA";-6.16666666666667;106.816666666667
"JAMBI";-1.6;103.883333333333
"JAMPEA";-7.1;120.683333333333
"JATINEGARA";-6.25;106.866666666667
"JAYAPURA";2.46666666666667;140.633333333333
"JEMBER";-8.16666666666667;113.7
"JENEPONTO";-5.68333333333333;119.716666666667
"JEPARA";-6.6;110.65
"JOMBANG";-7.53333333333333;112.216666666667
"KABANJAHE";3.11666666666667;98.4666666666667
"KADUNGDUNG";-7.1;113.316666666667
"KALABAHI";-8.2;124.533333333333
"KALIANDA";-5.78333333333333;105.566666666667
"KANDANGAN";-2.78333333333333;115.333333333333
"KANGEAN";-6.83333333333333;115.416666666667
"KARANG NUNGGAL";-7.63333333333333;108.133333333333
"KARANGANYAR";-7.58333333333333;110.95
"KARAWANG";-6.3;107.3
"KAYUAGUNG";-3.4;104.883333333333
"KEBAYORAN";-6.23333333333333;106.8
"KEBUMEN";-7.7;109.65
"KEDIRI";-7.81666666666667;112
"KEFAMENANU";-9.41666666666667;124.5
"KENDAL";-6.95;110.183333333333
"KENDARI";-3.95;122.583333333333
"KETAPANG KALIMANTAN";-1.85;109.966666666667
"KETAPANG MADURA";-6.88333333333333;113.283333333333
"KLATEN";-7.73333333333333;110.583333333333
"KOLAKA";-4.03333333333333;121.616666666667
"KOTABARU";-3.28333333333333;116.216666666667
"KOTABUMI";-4.85;104.85
"KOTAMOBAGO";0.8;124.35
"KRAKSAN";-7.76666666666667;113.45
"KRUI";-5.16666666666667;103.95
"KUALA KAPUAS";-3;114.433333333333
"KUALA SIMPANG";4.31666666666667;98.05
"KUALA TUNGKAL";-0.833333333333333;103.416666666667
"KUDUS";-6.83333333333333;110.833333333333
"KUNINGAN";-6.96666666666667;108.466666666667
"KUPANG";-10.2;123.583333333333
"KUTACANE";-3.5;97.85
"KUTAI";0.5;117
"LABUHA";-0.5;127.483333333333
"LABUHAN";-6.4;105.816666666667
"LAHAT";-3.78333333333333;103.533333333333
"LAMONGAN";-7.13333333333333;112.416666666667
"LANGSA";8.51666666666667;97.9666666666667
"LARANTUKA";-8.25;123
"LHOKSEIMAWE";5.25;97.1166666666667
"LHOKTUKON";5.11666666666667;97.3166666666667
"LUBUK LINGGAU";-3.28333333333333;102.9
"LUBUK SIKAPING";0.0833333333333333;100.166666666667
"LUMAJANG";-8.13333333333333;113.233333333333
"LUWUK";-0.916666666666667;122.816666666667
"MADIUN";-7.61666666666667;111.533333333333
"MAGETAN";-7.63333333333333;111.35
"MAJALENGKA";-6.83333333333333;108.2
"MAJENE";-3.55;118.983333333333
"MAKALE";-3.13333333333333;119.85
"MALANG";-7.98333333333333;112.6
"MALINGPING";-6.78333333333333;106.016666666667
"MAMUJU";-2.71666666666667;118.9
"MANADO";1.55;124.883333333333
"MANINJAU";-0.283333333333333;100.216666666667
"MANOKWARI";-1;134.083333333333
"MANYAR";-7.11875;112.603583333333
"MARABAHAN";-3.03333333333333;114.733333333333
"MAROS";-5;119.583333333333
"MARTAPURA";-3.38333333333333;114.866666666667
"MATARAM";-8.6;116.133333333333
"MAUMERE";-8.5;122.133333333333
"MEDAN";3.63333333333333;98.6333333333333
"MENADO";1.48333333333333;124.866666666667
"MERAK";-5.93333333333333;106
"MERAUKE";-8.5;140.45
"METRO";-5.11666666666667;105.266666666667
"MEULABOH";4.18333333333333;96.1166666666667
"MEUREUDEU";5.25;96.25
"MOJOKERTO";-7.46666666666667;112.433333333333
"MOROTAI";2.16666666666667;128.166666666667
"MUARA BULIAN";-1.75;103.25
"MUARA BUNGO";-1.5;102.116666666667
"MUARA ENIM";-3.63333333333333;103.783333333333
"MUARA LABUH";-1.48333333333333;101.033333333333
"MUARA TEWE";-0.516666666666667;114.883333333333
"MUKOMUKO";-2.55;101.083333333333
"NABIRE";-3.3;135.55
"NEGARA BALI";-8.38333333333333;114.583333333333
"NEGARA KALSEL";-2.7;115.083333333333
"NGANJUK";-7.63333333333333;111.883333333333
"NGAWI";-7.43333333333333;111.433333333333
"NUNUKAN";4.1;117.666666666667
"PACITAN";-8.2;111.1
"PADANG";-0.95;100.35
"PADANG PANJANG";-0.45;100.383333333333
"PADANG SIDAMPUAN";1.41666666666667;99.2333333333333
"PADANG SIDEMPUAN";1.41666666666667;99.2333333333333
"PAGANTENAN";-7.03333333333333;113.55
"PAINAN";-1.33333333333333;100.55
"PAKAN BARU";0.5;101.466666666667
"PALANGKARAYA";-2.26666666666667;113.933333333333
"PALEMBANG";-2.98333333333333;104.783333333333
"PALOPO";-3.01666666666667;120.216666666667
"PALU";-0.833333333333333;119.9
"PAMANUKAN";-6.3;107.833333333333
"PAMEKASAN";-7.15;113.5
"PAMEUNGPEUK";-7.63333333333333;107.7
"PANDEGELANG";-6.31666666666667;106.1
"PANGKAJENE";-4.83333333333333;119.566666666667
"PANGKAL PINANG";-2.11666666666667;106.166666666667
"PANGKALAN BUN";-2.66666666666667;111.75
"PAREPARE";-4.01666666666667;119.666666666667
"PARIAMAN";-0.616666666666667;100.116666666667
"PASIR PANGARAYAN";0.883333333333333;100.283333333333
"PASURUAN";-7.66666666666667;112.916666666667
"PATI";-6.63333333333333;111.05
"PAYAKUMBUH";-0.216666666666667;100.616666666667
"PEKALONGAN";-6.91666666666667;109.683333333333
"PEKANBARU";0.5;101.466666666667
"PELABUHAN RATU";-7.02905555555556;106.557722222222
"PEMALANG";-6.91666666666667;109.4
"PEMATANG SIANTAR";2.96666666666667;99.0333333333333
"PENGALENGAN";-7.21666666666667;107.516666666667
"PINRANG";-3.78333333333333;119.666666666667
"POLEWALI";-3.41666666666667;119.366666666667
"PONOROGO";-7.88333333333333;111.483333333333
"PONTIANAK";-0.0833333333333333;109.366666666667
"POSO";-1.4;120.783333333333
"PPMI ASSALAAM";-7.55;110.766666666667
"PROBOLINGGO";-7.75;113.216666666667
"PURBALINGGA";-7.41666666666667;109.366666666667
"PURWAKARTA";-6.6;107.45
"PURWODADI";-7.13333333333333;110.9
"PURWOKERTO";-7.46666666666667;109.216666666667
"PURWOREJO";-7.46666666666667;109.433333333333
"PUTUSIBAH";0.816666666666667;112.933333333333
"RABA";-8.5;118.75
"RAHA";-4.83333333333333;122.75
"RANGKASBITUNG";-6.36666666666667;106.216666666667
"RANTAU";-2.91666666666667;115.15
"RANTAU PRAPAT";2.11666666666667;99.8333333333333
"REMBANG";-6.65;111.483333333333
"RENGAT";-0.383333333333333;102.566666666667
"RUTENG";-8.66666666666667;120.5
"SABANG";5.9;95.35
"SALATIGA";-7.33333333333333;110.483333333333
"SAMARINDA";-0.466666666666667;117.183333333333
"SAMBAS";1.3;109.3
"SAMPANG";-7.18333333333333;113.25
"SAMPIT";-2.53333333333333;112.966666666667
"SANGGAU";0.133333333333333;110.716666666667
"SAWAH LUNTO";-0.666666666666667;100.766666666667
"SEKAYU";-2.88333333333333;103.833333333333
"SELAT PANJANG";1;102.25
"SELONG";-8.63333333333333;116.5
"SEMARANG";-7;110.4
"SEPULUH";-6.88333333333333;113
"SERANG";-6.13333333333333;106.15
"SIBOLGA";1.78333333333333;98.7666666666667
"SIDENRENG";-4;119.916666666667
"SIDIKALANG";-2.75;98.3333333333333
"SIDOARJO";-7.48333333333333;112.716666666667
"SIGLI";5.4;95.95
"SIJUNJUNG";-0.683333333333333;100.966666666667
"SINABANG";2.46666666666667;96.3666666666667
"SINDANG BARANG";-7.43333333333333;107.133333333333
"SINGARAJA";-8.13333333333333;115.083333333333
"SINGKAWANG";0.866666666666667;109
"SINGKIL";2.3;97.75
"SINJAI";-5.08333333333333;120.133333333333
"SINTANG";0.1;111.566666666667
"SITUBONDO";-7.73333333333333;114.016666666667
"SLEMAN";-7.73333333333333;114.016666666667
"SOLO";-7.58333333333333;110.8
"SOLOK";-0.783333333333333;100.633333333333
"SORONG";-0.833333333333333;131.25
"SRAGEN";-7.45;111.016666666667
"BAITUL MUSTHOFA";-7.47583333333333;110.893611111111
"SUBANG";-6.56666666666667;107.766666666667
"SUKABUMI";-6.91666666666667;106.433333333333
"SUKOHARJO";-7.7;110.833333333333
"SULIKI";-0.1;100.45
"SUMBAWA BESAR";-8.5;117.416666666667
"SUMEDANG";-6.88333333333333;107.883333333333
"SUMENEP";-7.05;113.883333333333
"SUNBGU MINASA";-5.2;119.5
"SUNGAI LIAT";-1.86666666666667;106.083333333333
"SUNGAI PENUH";-2.06666666666667;101.4
"SURABAYA";-7.25;112.75
"SURAKARTA";-7.53333333333333;110.833333333333
"TABANAN";-8.48333333333333;115.033333333333
"TAHUNA";3.6;125.5
"TAKALAR";-5.5;119.416666666667
"TAKENGEUN";4.71666666666667;96.8333333333333
"TAKENGON";4.6;96.8166666666667
"TALU";0.216666666666667;99.9666666666667
"TAMBELANGAN";-7.08333333333333;113.2
"TANAH GROGOT";-1.86666666666667;116.216666666667
"TANGERANG";-6.2;106.633333333333
"TANJUNG BALAI";2.98333333333333;99.7833333333333
"TANJUNG KALSEL";-2.13333333333333;115.433333333333
"TANJUNG KARANG";-5.41666666666667;105.283333333333
"TANJUNG KODOK";-6.86395;112.357722222222
"TANJUNG PANDAN";-2.75;107.666666666667
"TANJUNG PINANG";0.916666666666667;104.483333333333
"TANJUNG PRIOK";-6.1;106.816666666667
"TANJUNG REDEP";2.13333333333333;117.466666666667
"TANJUNG SELOR";2.76666666666667;117.366666666667
"TAPAK TUAN";3.3;97.1666666666667
"TARUTUNG";2;98.95
"TASIKMALAYA";-7.45;108.216666666667
"TEBING TINGGI";3.36666666666667;99.1166666666667
"TEGAL";-6.9;109.133333333333
"TELUK BETUNG";-5.41666666666667;105.283333333333
"TEMANGGUNG";-7.36666666666667;110.133333333333
"TEMBILAHAN";-0.316666666666667;103.116666666667
"TERNATE";1.81666666666667;127.4
"TEST";-7.11666666666667;110.666666666667
"TOBELO";1.75;128
"TOLITOLI";1.05;120.833333333333
"TORJUN";-7.15;113.25
"TRENGGALEK";-8.06666666666667;111.733333333333
"TUBAN";-6.93333333333333;112.066666666667
"TULUNGAGUNG";-8.08333333333333;111.9
"UJUNG KULON";-6.75;105.333333333333
"UJUNG PANDAN";-5.13333333333333;119.45
"UJUNG PANGKAH";-6.9;112.6
"UJUNG PANGKAH";-6.91150555555556;112.531205555556
"UJUNG_PANDANG";-5.15;119.466666666667
"MAKASAR";-5.15;119.466666666667
"WAIKABUBAK";-9.66666666666667;119.416666666667
"WAINGAPU";-9.66666666666667;120.25
"WAMENA";-3.9;138.683333333333
"WARU";-6.93333333333333;113.616666666667
"WATANPONE";-4.56666666666667;120.333333333333
"WATANSOPPENG";-4.35;119.916666666667
"WATES";-7.86666666666667;110.133333333333
"WONOGIRI";-7.83333333333333;110.916666666667
"WONOSARI";-7.96666666666667;110.583333333333
"WONOSOBO";-7.4;109.9
"YOGYAKARTA";-7.8;110.4
